,日期1,总有功功率（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
0,2018/1/1 00:00:00,244033.7682,22,12,0,0,2,2
1,2018/1/1 00:00:00,244033.7682,22,12,0,0,2,2
2,2018/1/1 00:15:00,232720.6402,22,12,0,0,2,2
3,2018/1/1 00:15:00,232720.6402,22,12,0,0,2,2
4,2018/1/1 00:30:00,231685.6891,22,12,0,0,2,2
5,2018/1/1 00:30:00,231685.6891,22,12,0,0,2,2
6,2018/1/1 00:45:00,227581.3317,22,12,0,0,2,2
7,2018/1/1 00:45:00,227581.3317,22,12,0,0,2,2
8,2018/1/1 01:00:00,233482.4269,22,12,0,0,2,2
9,2018/1/1 01:00:00,233482.4269,22,12,0,0,2,2
10,2018/1/1 01:15:00,224464.7554,22,12,0,0,2,2
11,2018/1/1 01:15:00,224464.7554,22,12,0,0,2,2
12,2018/1/1 01:30:00,223881.3222,22,12,0,0,2,2
13,2018/1/1 01:30:00,223881.3222,22,12,0,0,2,2
14,2018/1/1 01:45:00,221522.7156,22,12,0,0,2,2
15,2018/1/1 01:45:00,221522.7156,22,12,0,0,2,2
16,2018/1/1 02:00:00,228138.5805,22,12,0,0,2,2
17,2018/1/1 02:00:00,228138.5805,22,12,0,0,2,2
18,2018/1/1 02:15:00,220047.4568,22,12,0,0,2,2
19,2018/1/1 02:15:00,220047.4568,22,12,0,0,2,2
20,2018/1/1 02:30:00,220573.6666,22,12,0,0,2,2
21,2018/1/1 02:30:00,220573.6666,22,12,0,0,2,2
22,2018/1/1 02:45:00,219896.75,22,12,0,0,2,2
23,2018/1/1 02:45:00,219896.75,22,12,0,0,2,2
24,2018/1/1 03:00:00,224121.3949,22,12,0,0,2,2
25,2018/1/1 03:00:00,224121.3949,22,12,0,0,2,2
26,2018/1/1 03:15:00,229556.1453,22,12,0,0,2,2
27,2018/1/1 03:15:00,229556.1453,22,12,0,0,2,2
28,2018/1/1 03:30:00,215950.7908,22,12,0,0,2,2
29,2018/1/1 03:30:00,215950.7908,22,12,0,0,2,2
30,2018/1/1 03:45:00,213963.2834,22,12,0,0,2,2
31,2018/1/1 03:45:00,213963.2834,22,12,0,0,2,2
32,2018/1/1 04:00:00,216487.5923,22,12,0,0,2,2
33,2018/1/1 04:00:00,216487.5923,22,12,0,0,2,2
34,2018/1/1 04:15:00,211537.1307,22,12,0,0,2,2
35,2018/1/1 04:15:00,211537.1307,22,12,0,0,2,2
36,2018/1/1 04:30:00,212033.174,22,12,0,0,2,2
37,2018/1/1 04:30:00,212033.174,22,12,0,0,2,2
38,2018/1/1 04:45:00,217465.0912,22,12,0,0,2,2
39,2018/1/1 04:45:00,217465.0912,22,12,0,0,2,2
40,2018/1/1 05:00:00,218271.4217,22,12,0,0,2,2
41,2018/1/1 05:00:00,218271.4217,22,12,0,0,2,2
42,2018/1/1 05:15:00,236180.4538,22,12,0,0,2,2
43,2018/1/1 05:15:00,236180.4538,22,12,0,0,2,2
44,2018/1/1 05:30:00,213510.2072,22,12,0,0,2,2
45,2018/1/1 05:30:00,213510.2072,22,12,0,0,2,2
46,2018/1/1 05:45:00,236967.7574,22,12,0,0,2,2
47,2018/1/1 05:45:00,236967.7574,22,12,0,0,2,2
48,2018/1/1 06:00:00,220152.7494,22,12,0,0,2,2
49,2018/1/1 06:00:00,220152.7494,22,12,0,0,2,2
50,2018/1/1 06:15:00,212271.5559,22,12,0,0,2,2
51,2018/1/1 06:15:00,212271.5559,22,12,0,0,2,2
52,2018/1/1 06:30:00,209972.7333,22,12,0,0,2,2
53,2018/1/1 06:30:00,209972.7333,22,12,0,0,2,2
54,2018/1/1 06:45:00,208697.8496,22,12,0,0,2,2
55,2018/1/1 06:45:00,208697.8496,22,12,0,0,2,2
56,2018/1/1 07:00:00,213808.6241,22,12,0,0,2,2
57,2018/1/1 07:00:00,213808.6241,22,12,0,0,2,2
58,2018/1/1 07:15:00,207072.372,22,12,0,0,2,2
59,2018/1/1 07:15:00,207072.372,22,12,0,0,2,2
60,2018/1/1 07:30:00,204480.9058,22,12,0,0,2,2
61,2018/1/1 07:30:00,204480.9058,22,12,0,0,2,2
62,2018/1/1 07:45:00,207616.6495,22,12,0,0,2,2
63,2018/1/1 07:45:00,207616.6495,22,12,0,0,2,2
64,2018/1/1 08:00:00,208614.265,22,12,0,0,2,2
65,2018/1/1 08:00:00,208614.265,22,12,0,0,2,2
66,2018/1/1 08:15:00,203793.5753,22,12,0,0,2,2
67,2018/1/1 08:15:00,203793.5753,22,12,0,0,2,2
68,2018/1/1 08:30:00,205267.6863,22,12,0,0,2,2
69,2018/1/1 08:30:00,205267.6863,22,12,0,0,2,2
70,2018/1/1 08:45:00,206870.7307,22,12,0,0,2,2
71,2018/1/1 08:45:00,206870.7307,22,12,0,0,2,2
72,2018/1/1 09:00:00,216101.242,22,12,0,0,2,2
73,2018/1/1 09:00:00,216101.242,22,12,0,0,2,2
74,2018/1/1 09:15:00,209963.5599,22,12,0,0,2,2
75,2018/1/1 09:15:00,209963.5599,22,12,0,0,2,2
76,2018/1/1 09:30:00,212765.8321,22,12,0,0,2,2
77,2018/1/1 09:30:00,212765.8321,22,12,0,0,2,2
78,2018/1/1 09:45:00,215195.996,22,12,0,0,2,2
79,2018/1/1 09:45:00,215195.996,22,12,0,0,2,2
80,2018/1/1 10:00:00,227239.6381,22,12,0,0,2,2
81,2018/1/1 10:00:00,227239.6381,22,12,0,0,2,2
82,2018/1/1 10:15:00,240495.9314,22,12,0,0,2,2
83,2018/1/1 10:15:00,240495.9314,22,12,0,0,2,2
84,2018/1/1 10:30:00,219962.6322,22,12,0,0,2,2
85,2018/1/1 10:30:00,219962.6322,22,12,0,0,2,2
86,2018/1/1 10:45:00,218330.6229,22,12,0,0,2,2
87,2018/1/1 10:45:00,218330.6229,22,12,0,0,2,2
88,2018/1/1 11:00:00,230392.4951,22,12,0,0,2,2
89,2018/1/1 11:00:00,230392.4951,22,12,0,0,2,2
90,2018/1/1 11:15:00,225234.5089,22,12,0,0,2,2
91,2018/1/1 11:15:00,225234.5089,22,12,0,0,2,2
92,2018/1/1 11:30:00,225847.5166,22,12,0,0,2,2
93,2018/1/1 11:30:00,225847.5166,22,12,0,0,2,2
94,2018/1/1 11:45:00,225491.5088,22,12,0,0,2,2
95,2018/1/1 11:45:00,225491.5088,22,12,0,0,2,2
96,2018/1/1 12:00:00,231639.127,22,12,0,0,2,2
97,2018/1/1 12:00:00,231639.127,22,12,0,0,2,2
98,2018/1/1 12:15:00,233883.7328,22,12,0,0,2,2
99,2018/1/1 12:15:00,233883.7328,22,12,0,0,2,2
100,2018/1/1 12:30:00,220691.8036,22,12,0,0,2,2
101,2018/1/1 12:30:00,220691.8036,22,12,0,0,2,2
102,2018/1/1 12:45:00,218910.5081,22,12,0,0,2,2
103,2018/1/1 12:45:00,218910.5081,22,12,0,0,2,2
104,2018/1/1 13:00:00,228360.1525,22,12,0,0,2,2
105,2018/1/1 13:00:00,228360.1525,22,12,0,0,2,2
106,2018/1/1 13:15:00,216727.3519,22,12,0,0,2,2
107,2018/1/1 13:15:00,216727.3519,22,12,0,0,2,2
108,2018/1/1 13:30:00,215198.5112,22,12,0,0,2,2
109,2018/1/1 13:30:00,215198.5112,22,12,0,0,2,2
110,2018/1/1 13:45:00,214954.0029,22,12,0,0,2,2
111,2018/1/1 13:45:00,214954.0029,22,12,0,0,2,2
112,2018/1/1 14:00:00,223432.7036,22,12,0,0,2,2
113,2018/1/1 14:00:00,223432.7036,22,12,0,0,2,2
114,2018/1/1 14:15:00,212948.1638,22,12,0,0,2,2
115,2018/1/1 14:15:00,212948.1638,22,12,0,0,2,2
116,2018/1/1 14:30:00,212299.8913,22,12,0,0,2,2
117,2018/1/1 14:30:00,212299.8913,22,12,0,0,2,2
118,2018/1/1 14:45:00,210927.116,22,12,0,0,2,2
119,2018/1/1 14:45:00,210927.116,22,12,0,0,2,2
120,2018/1/1 15:00:00,219303.6127,22,12,0,0,2,2
121,2018/1/1 15:00:00,219303.6127,22,12,0,0,2,2
122,2018/1/1 15:15:00,211065.1862,22,12,0,0,2,2
123,2018/1/1 15:15:00,211065.1862,22,12,0,0,2,2
124,2018/1/1 15:30:00,208218.2147,22,12,0,0,2,2
125,2018/1/1 15:30:00,208218.2147,22,12,0,0,2,2
126,2018/1/1 15:45:00,209392.1555,22,12,0,0,2,2
127,2018/1/1 15:45:00,209392.1555,22,12,0,0,2,2
128,2018/1/1 16:00:00,219496.8008,22,12,0,0,2,2
129,2018/1/1 16:00:00,219496.8008,22,12,0,0,2,2
130,2018/1/1 16:15:00,214732.0644,22,12,0,0,2,2
131,2018/1/1 16:15:00,214732.0644,22,12,0,0,2,2
132,2018/1/1 16:30:00,218917.1671,22,12,0,0,2,2
133,2018/1/1 16:30:00,218917.1671,22,12,0,0,2,2
134,2018/1/1 16:45:00,219759.1476,22,12,0,0,2,2
135,2018/1/1 16:45:00,219759.1476,22,12,0,0,2,2
136,2018/1/1 17:00:00,230398.681,22,12,0,0,2,2
137,2018/1/1 17:00:00,230398.681,22,12,0,0,2,2
138,2018/1/1 17:15:00,226652.9938,22,12,0,0,2,2
139,2018/1/1 17:15:00,226652.9938,22,12,0,0,2,2
140,2018/1/1 17:30:00,232022.5375,22,12,0,0,2,2
141,2018/1/1 17:30:00,232022.5375,22,12,0,0,2,2
142,2018/1/1 17:45:00,234560.2623,22,12,0,0,2,2
143,2018/1/1 17:45:00,234560.2623,22,12,0,0,2,2
144,2018/1/1 18:00:00,246983.9221,22,12,0,0,2,2
145,2018/1/1 18:00:00,246983.9221,22,12,0,0,2,2
146,2018/1/1 18:15:00,240788.3888,22,12,0,0,2,2
147,2018/1/1 18:15:00,240788.3888,22,12,0,0,2,2
148,2018/1/1 18:30:00,250922.229,22,12,0,0,2,2
149,2018/1/1 18:30:00,250922.229,22,12,0,0,2,2
